                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3615,                 5.2364,                 4.1558,                0.91442,                 0.0676,                0.05319,                0.01298,                 3.8804,                 9.7586,                  4.233,              0.0033185,              0.0033185,              0.0033185
                      2,                 2.8233,                 4.0058,                 3.3215,                0.93814,                0.21338,                0.21524,                 0.1266,                 2.9919,                 3.7215,                 3.1471,              0.0066298,              0.0066298,              0.0066298
                      3,                 2.0892,                 2.6336,                 2.2637,                0.69615,                0.23855,                 0.1757,                0.13433,                 2.7039,                 2.7499,                 2.3679,              0.0099192,              0.0099192,              0.0099192
                      4,                 1.8363,                 1.9068,                 1.7283,                0.99712,                0.22678,                0.28829,                0.22338,                 2.0277,                 2.0682,                 1.8027,               0.009901,               0.009901,               0.009901
                      5,                 1.6186,                 1.5566,                 1.5204,                0.54039,                0.30416,                0.31065,                0.24315,                  1.882,                 1.8669,                 1.6183,               0.009901,               0.009901,               0.009901
                      6,                 1.5204,                 1.3406,                 1.3975,                 0.3944,                0.37463,                0.38461,                0.26983,                 1.7507,                 1.4492,                 1.4744,               0.009868,               0.009868,               0.009868
                      7,                 1.4245,                 1.2109,                 1.3383,                0.64228,                0.33316,                0.36997,                0.26965,                 1.7281,                 1.3997,                 1.4434,               0.009835,               0.009835,               0.009835
                      8,                 1.4017,                 1.1198,                 1.2985,                0.47364,                0.37805,                0.37847,                0.26035,                 1.7834,                 1.4789,                 1.4509,               0.009802,               0.009802,               0.009802
                      9,                 1.3383,                 1.0487,                 1.2616,                0.70888,                0.40937,                0.43937,                0.31217,                 1.5747,                 1.2167,                 1.3018,               0.009769,               0.009769,               0.009769
                     10,                  1.301,                  1.005,                 1.2252,                0.60356,                 0.3988,                0.46494,                 0.3265,                 1.5774,                 1.1678,                 1.3087,               0.009736,               0.009736,               0.009736
                     11,                 1.2893,                 0.9708,                 1.2149,                0.49702,                0.43176,                0.43849,                0.24184,                  1.822,                 1.3924,                 1.3972,               0.009703,               0.009703,               0.009703
                     12,                 1.2711,                0.94685,                 1.1984,                0.47196,                0.47038,                0.46545,                0.31478,                 1.6315,                 1.1779,                 1.3044,                0.00967,                0.00967,                0.00967
                     13,                 1.2305,                 0.9093,                 1.1824,                0.51841,                0.54999,                0.51976,                0.35859,                 1.4911,                 1.0085,                 1.2352,               0.009637,               0.009637,               0.009637
                     14,                 1.2425,                0.91375,                  1.178,                0.55681,                0.53486,                0.53485,                 0.3655,                 1.5169,                 1.0777,                 1.2422,               0.009604,               0.009604,               0.009604
